Source,Target,Score
RE-681,DronologyElementFactory,0.9633
RE-595,NVECSimulator,0.9631
RE-681,SimulatorScenarioPersistenceProvider,0.9627
RE-681,IManagedDroneStateChangeListener,0.9627
RE-424,SimulatorScenarioPersistenceProvider,0.9624
RE-681,MissionPlanningPersistenceProvider,0.9620
RE-77,StatusDispatchThread,0.9618
RE-80,StatusDispatchThread,0.9613
RE-424,SendToSubscriberCallable,0.9604
RE-424,IncommingGroundstationConnectionServer,0.9597
RE-508,WorkspaceInitializer,0.9593
RE-681,PlanPoolManager,0.9590
RE-681,UAVRegistrationPersistenceProvider,0.9588
RE-25,TaskList,0.9576
RE-681,DroneSimulatorServiceRemoteFacade,0.9565
RE-25,AFFollowBar,0.9565
RE-103,FlightRouteplanningServiceRemoteFacade,0.9562
RE-689,FlightRouteplanningServiceRemoteFacade,0.9559
RE-103,DroneSetupServiceRemoteFacade,0.9558
RE-689,AreaMappingServiceRemoteFacade,0.9556
RE-681,UAVRegistrationServiceRemoteFacade,0.9549
RE-424,DroneSimulatorServiceRemoteFacade,0.9548
RE-587,FlightRouteplanningServiceRemoteFacade,0.9547
RE-587,AreaMappingServiceRemoteFacade,0.9545
RE-424,DroneSimulatorService,0.9543
RE-681,DroneSimulatorService,0.9539
RE-689,IPlanStatusChangeListener,0.9538
RE-693,MissionElementFactory,0.9534
RE-595,FlightSimulator,0.9533
RE-681,SearchConstants,0.9532
RE-689,DroneSetupServiceRemoteFacade,0.9532
RE-103,AreaMappingServiceRemoteFacade,0.9531
RE-28,StatusDispatchThread,0.9531
RE-681,DronologyMonitoringManager,0.9530
RE-424,DroneMonitoringServiceRemoteFacade,0.9529
RE-25,PersistableMissionPlan,0.9526
RE-689,IItemChangeListener,0.9525
RE-681,SendToSubscriberCallable,0.9519
RE-681,SimulatorScenarioInfo,0.9515
RE-587,DroneSetupServiceRemoteFacade,0.9515
RE-587,IPlanStatusChangeListener,0.9514
RE-424,DroneSimulatorServiceInstance,0.9512
RE-681,IDroneSimulatorServiceInstance,0.9509
RE-681,DroneSimulatorServiceInstance,0.9508
RE-587,IItemChangeListener,0.9506
RE-681,IDroneSimulatorRemoteService,0.9505
RE-424,UAVProxyManager,0.9503
RE-101,PlanPoolManager,0.9502
RE-681,FlightInfo,0.9502
RE-103,IPlanStatusChangeListener,0.9500
RE-424,IDroneSimulatorRemoteService,0.9493
RE-25,IMissionPlan,0.9492
RE-424,IDroneSimulatorServiceInstance,0.9489
RE-424,SimulatorScenarioInfo,0.9489
RE-689,FlightInfo,0.9489
RE-681,IncommingGroundstationConnectionServer,0.9485
RE-25,AreaMapping,0.9479
RE-25,IUAVMissionDescription,0.9478
RE-424,MonitoringDataHandler3,0.9477
RE-689,DronologyListenerManager,0.9477
RE-681,AreaMappingCategoryInfo,0.9477
RE-681,FlightRouteCategoryInfo,0.9475
RE-681,SimulatorScenarioCategoryInfo,0.9473
RE-587,FlightInfo,0.9472
RE-689,IDroneStatusChangeListener,0.9469
RE-25,IRegionOfInterest,0.9466
RE-424,IRemoteMonitoringMessageHandler,0.9465
RE-639,DronologySeriviceListener,0.9461
RE-103,IItemChangeListener,0.9461
RE-424,UAVListenerManager,0.9457
RE-103,FlightInfo,0.9453
RE-689,UAVRegistrationServiceRemoteFacade,0.9452
RE-689,FlightRoutePersistenceProvider,0.9452
RE-103,SearchConstants,0.9451
RE-587,DronologyListenerManager,0.9451
RE-555,PlanPoolManager,0.9450
RE-25,PersistableUAVMissionDescription,0.9450
RE-103,UAVRegistrationServiceRemoteFacade,0.9450
RE-103,DronologyListenerManager,0.9449
RE-689,AreaMappingPersistenceProvider,0.9448
RE-103,IDroneStatusChangeListener,0.9446
RE-424,FlightRouteCategoryInfo,0.9446
RE-424,AreaMappingCategoryInfo,0.9446
RE-759,FlightRouteplanningServiceRemoteFacade,0.9445
RE-587,IDroneStatusChangeListener,0.9442
RE-424,SimulatorScenarioCategoryInfo,0.9442
RE-103,DronologyMonitoringManager,0.9441
RE-587,FlightRoutePersistenceProvider,0.9441
RE-587,UAVRegistrationServiceRemoteFacade,0.9441
RE-587,AreaMappingPersistenceProvider,0.9437
RE-695,BaseServiceProvider,0.9434
RE-689,MissionPlanningPersistenceProvider,0.9428
RE-25,IAreaMapping,0.9426
RE-689,DronologyMonitoringManager,0.9420
RE-587,MissionPlanningPersistenceProvider,0.9416
RE-25,RemoteInfoObject,0.9414
RE-689,IDronologyChangeListener,0.9411
RE-689,SearchConstants,0.9409
RE-759,DroneSetupServiceRemoteFacade,0.9408
RE-695,SearchConstants,0.9407
RE-656,FlightInfoCreator,0.9406
RE-689,IManagedDroneStateChangeListener,0.9405
RE-759,AreaMappingServiceRemoteFacade,0.9404
RE-587,DronologyMonitoringManager,0.9402
RE-103,AreaMappingPersistenceProvider,0.9401
RE-424,DroneCollectionStatus,0.9400
RE-25,IUAVTypeRegistration,0.9400
RE-103,MissionPlanningPersistenceProvider,0.9399
RE-729,UnitState,0.9398
RE-689,UAVRegistrationPersistenceProvider,0.9398
RE-103,FlightRoutePersistenceProvider,0.9397
RE-25,IRemoteInfoObject,0.9395
RE-759,UAVRegistrationServiceRemoteFacade,0.9394
RE-681,DroneMonitoringServiceRemoteFacade,0.9392
RE-681,MonitoringDataHandler3,0.9389
RE-501,FlightPlan,0.9387
RE-695,DroneSetupServiceRemoteFacade,0.9387
RE-681,IRemoteMonitoringMessageHandler,0.9386
RE-587,UAVRegistrationPersistenceProvider,0.9385
RE-689,IMonitoringDataHandler,0.9384
RE-103,IManagedDroneStateChangeListener,0.9382
RE-587,IDronologyChangeListener,0.9382
RE-587,IManagedDroneStateChangeListener,0.9380
RE-587,SearchConstants,0.9379
RE-103,SendToSubscriberCallable,0.9374
RE-689,DronologyElementFactory,0.9373
RE-424,GeneratedMappedArea,0.9372
RE-656,PlanPoolManager,0.9371
RE-103,IncommingGroundstationConnectionServer,0.9370
RE-587,DronologyElementFactory,0.9369
RE-103,UAVRegistrationPersistenceProvider,0.9365
RE-103,DroneMonitoringServiceRemoteFacade,0.9361
RE-424,MonitorDialog,0.9361
RE-689,SendToSubscriberCallable,0.9361
RE-695,FlightRouteplanningServiceRemoteFacade,0.9358
RE-587,SendToSubscriberCallable,0.9357
RE-722,UAVMonitoringMessage,0.9357
RE-103,UAVProxyManager,0.9355
RE-587,IMonitoringDataHandler,0.9355
RE-681,UAVProxyManager,0.9353
RE-25,IPersistableItem,0.9351
RE-103,IDronologyChangeListener,0.9350
RE-25,MockupProbe,0.9350
RE-689,IncommingGroundstationConnectionServer,0.9349
RE-103,IMonitoringDataHandler,0.9347
RE-681,UAVListenerManager,0.9346
RE-25,UAVTypeRegistration,0.9338
RE-681,MonitorDialog,0.9338
RE-587,IncommingGroundstationConnectionServer,0.9337
RE-689,SimulatorScenarioPersistenceProvider,0.9330
RE-587,SimulatorScenarioPersistenceProvider,0.9328
RE-695,UAVRegistrationServiceRemoteFacade,0.9323
RE-695,DronologyListenerManager,0.9318
RE-689,DroneMonitoringServiceRemoteFacade,0.9317
RE-587,DroneMonitoringServiceRemoteFacade,0.9314
RE-587,DroneSimulatorService,0.9314
RE-695,IPlanStatusChangeListener,0.9309
RE-695,AreaMappingServiceRemoteFacade,0.9309
RE-689,DroneSimulatorService,0.9305
RE-759,MissionElementFactory,0.9302
RE-424,BaseServiceProvider,0.9302
RE-695,UAVProxyManager,0.9300
RE-759,DronologyMonitoringManager,0.9300
RE-25,EdgeLla,0.9295
RE-103,DronologyElementFactory,0.9294
RE-759,IItemChangeListener,0.9291
RE-693,FlightRouteplanningServiceRemoteFacade,0.9288
RE-759,PlanPoolManager,0.9288
RE-689,UAVProxyManager,0.9284
RE-596,DroneVoltageSimulator,0.9280
RE-759,MissionPlanningPersistenceProvider,0.9276
RE-695,PlanPoolManager,0.9275
RE-695,DronologyMonitoringManager,0.9274
RE-693,DroneSetupServiceRemoteFacade,0.9267
RE-424,IDroneSetupServiceInstance,0.9266
RE-759,IPlanStatusChangeListener,0.9266
RE-101,FlightInfoCreator,0.9265
RE-693,UAVRegistrationServiceRemoteFacade,0.9263
RE-587,DroneSimulatorServiceRemoteFacade,0.9261
RE-689,DroneSimulatorServiceRemoteFacade,0.9260
RE-103,DroneCollectionStatus,0.9256
RE-681,ResultCreationUtil,0.9255
RE-587,UAVProxyManager,0.9254
RE-103,FlightManagerService,0.9252
RE-103,GeneratedMappedArea,0.9252
RE-695,AreaMappingServiceInstance,0.9251
RE-103,UAVListenerManager,0.9249
RE-25,IDroneCommandHandler,0.9249
RE-501,SimulatorScenario,0.9247
RE-695,IItemChangeListener,0.9246
RE-541,SynchronizationPoint,0.9245
RE-587,IDroneSimulatorRemoteService,0.9243
RE-103,MonitoringDataHandler3,0.9241
RE-695,IDroneStatusChangeListener,0.9240
RE-759,DronologyListenerManager,0.9240
RE-424,ResultCreationUtil,0.9240
RE-681,DroneCollectionStatus,0.9239
RE-508,GeneratedMappedArea,0.9238
RE-424,IFileChangeNotifyable,0.9237
RE-695,DroneCollectionStatus,0.9236
RE-759,AreaMappingPersistenceProvider,0.9235
RE-689,IDroneSimulatorRemoteService,0.9234
RE-689,MonitoringDataHandler3,0.9234
RE-508,UAVTypeRegistrationServiceRemoteFacade,0.9234
RE-501,ISimulatorScenario,0.9232
RE-508,AbstractFileTransmitServiceInstance,0.9230
RE-611,StatusDispatchThread,0.9230
RE-587,DroneSimulatorServiceInstance,0.9230
RE-759,FlightRoutePersistenceProvider,0.9228
RE-508,AMInfoBox,0.9227
RE-101,SearchConstants,0.9226
RE-689,DroneSimulatorServiceInstance,0.9221
RE-689,UAVListenerManager,0.9220
RE-759,SearchConstants,0.9220
RE-103,IRemoteMonitoringMessageHandler,0.9220
RE-587,IDroneSimulatorServiceInstance,0.9219
RE-693,AreaMappingServiceRemoteFacade,0.9219
RE-587,MonitoringDataHandler3,0.9219
RE-759,FlightInfoCreator,0.9218
RE-103,SimulatorScenarioPersistenceProvider,0.9218
RE-501,IFlightRoute,0.9218
RE-101,FlightManagerService,0.9217
RE-681,GeneratedMappedArea,0.9217
RE-587,GoToCommand,0.9216
RE-103,BaseServiceProvider,0.9216
RE-594,DroneVoltageSimulator,0.9215
RE-656,FlightRouteplanningServiceRemoteFacade,0.9215
RE-689,IDroneSimulatorServiceInstance,0.9213
RE-101,DroneSetupServiceRemoteFacade,0.9212
RE-587,UAVListenerManager,0.9210
RE-759,IncommingGroundstationConnectionServer,0.9210
RE-103,DroneSimulatorService,0.9208
RE-759,UAVRegistrationPersistenceProvider,0.9207
RE-549,StatusDispatchThread,0.9206
RE-759,DroneMonitoringServiceRemoteFacade,0.9204
RE-691,BaseServiceProvider,0.9199
RE-689,IRemoteMonitoringMessageHandler,0.9198
RE-587,SimulatorScenarioInfo,0.9197
RE-656,AreaMappingServiceRemoteFacade,0.9196
RE-689,SimulatorScenarioInfo,0.9195
RE-597,DroneVoltageSimulator,0.9195
RE-656,DroneSetupServiceRemoteFacade,0.9194
RE-587,IRemoteMonitoringMessageHandler,0.9192
RE-587,FlightManagerService,0.9189
RE-656,FlightInfo,0.9189
RE-103,IDroneSetupServiceInstance,0.9188
RE-689,GeneratedMappedArea,0.9185
RE-101,FlightInfo,0.9185
RE-555,SearchConstants,0.9184
RE-759,IDroneStatusChangeListener,0.9183
RE-695,MissionPlanningPersistenceProvider,0.9181
RE-555,FlightManagerService,0.9181
RE-101,UAVProxyManager,0.9180
RE-555,DroneCollectionStatus,0.9180
RE-695,IManagedDroneStateChangeListener,0.9178
RE-555,UAVProxyManager,0.9177
RE-656,IPlanStatusChangeListener,0.9173
RE-501,FlightRouteInfo,0.9172
RE-689,DroneCollectionStatus,0.9169
RE-101,DroneCollectionStatus,0.9169
RE-759,SendToSubscriberCallable,0.9167
RE-508,PysicalDroneIdGenerator,0.9166
RE-508,MappingInfo,0.9164
RE-695,GeneratedMappedArea,0.9162
RE-597,SynchronizationState,0.9162
RE-693,DronologyMonitoringManager,0.9161
RE-555,FlightInfoCreator,0.9157
RE-101,FlightRouteplanningServiceRemoteFacade,0.9155
RE-587,GeneratedMappedArea,0.9155
RE-681,IDroneSetupServiceInstance,0.9154
RE-587,IDroneSetupServiceInstance,0.9154
RE-759,DronologyElementFactory,0.9154
RE-508,AreaMappingInfo,0.9154
RE-587,FlightRouteCategoryInfo,0.9153
RE-689,FlightRouteCategoryInfo,0.9151
RE-587,AreaMappingCategoryInfo,0.9150
RE-695,AreaMappingPersistenceProvider,0.9149
RE-689,FlightManagerService,0.9148
RE-689,AreaMappingCategoryInfo,0.9148
RE-656,IItemChangeListener,0.9147
RE-587,SimulatorScenarioCategoryInfo,0.9147
RE-424,RemoteMessageHandler,0.9146
RE-103,DroneSimulatorServiceInstance,0.9146
RE-689,SimulatorScenarioCategoryInfo,0.9144
RE-689,IDroneSetupServiceInstance,0.9144
RE-555,DroneSetupServiceRemoteFacade,0.9142
RE-759,UAVProxyManager,0.9139
RE-424,PlanPool,0.9137
RE-424,AreaMappingService,0.9134
RE-695,FlightRoutePersistenceProvider,0.9133
RE-25,UAVEquipmentTypeRegistration,0.9133
RE-103,DroneSimulatorServiceRemoteFacade,0.9133
RE-695,IDronologyChangeListener,0.9132
RE-695,UAVRegistrationPersistenceProvider,0.9132
RE-681,BaseServiceProvider,0.9132
RE-695,UAVListenerManager,0.9130
RE-587,DroneCollectionStatus,0.9130
RE-501,WorkspaceInitializer,0.9126
RE-759,IManagedDroneStateChangeListener,0.9125
RE-759,IDroneSetupServiceInstance,0.9124
RE-103,IDroneSimulatorRemoteService,0.9123
RE-695,IMonitoringDataHandler,0.9123
RE-424,DronologySeriviceListener,0.9120
RE-101,IDroneStatusChangeListener,0.9120
RE-691,AreaMappingServiceInstance,0.9119
RE-101,IPlanStatusChangeListener,0.9118
RE-103,AreaMappingService,0.9118
RE-656,DronologyListenerManager,0.9118
RE-759,AbstractFileTransmitServerService,0.9115
RE-541,IDroneCommand,0.9114
RE-101,DronologyMonitoringManager,0.9114
RE-695,SendToSubscriberCallable,0.9113
RE-656,IDroneStatusChangeListener,0.9112
RE-656,FlightManagerService,0.9110
RE-693,SearchConstants,0.9110
RE-759,DroneSimulatorService,0.9108
RE-656,UAVRegistrationServiceRemoteFacade,0.9108
RE-424,IRemoteServiceListener,0.9106
RE-424,AbstractFileTransmitServerService,0.9105
RE-759,IDronologyChangeListener,0.9104
RE-681,RemoteMessageHandler,0.9100
RE-759,MonitoringDataHandler3,0.9094
RE-693,SynchronizationManager,0.9094
RE-759,AreaMappingService,0.9092
RE-508,RuntimeDroneTypes,0.9092
RE-101,DronologyListenerManager,0.9091
RE-103,IDroneSimulatorServiceInstance,0.9089
RE-695,DronologyElementFactory,0.9088
RE-681,IFileChangeNotifyable,0.9088
RE-555,SynchronizationManager,0.9087
RE-695,DroneMonitoringServiceRemoteFacade,0.9087
RE-103,AbstractFileTransmitServerService,0.9086
RE-555,GeneratedMappedArea,0.9086
RE-693,PlanPoolManager,0.9086
RE-656,DronologyMonitoringManager,0.9086
RE-656,SearchConstants,0.9085
RE-695,FlightRouteplanningServiceInstance,0.9084
RE-587,BaseServiceProvider,0.9083
RE-695,WorkspaceInitializer,0.9081
RE-555,FlightInfo,0.9081
RE-689,BaseServiceProvider,0.9081
RE-759,GeneratedMappedArea,0.9080
RE-759,IFileTransmitServiceInstance,0.9078
RE-691,AFMainLayout,0.9078
RE-555,FlightRouteplanningServiceRemoteFacade,0.9077
RE-759,SynchronizationManager,0.9075
RE-656,FlightRoutePersistenceProvider,0.9075
RE-101,GeneratedMappedArea,0.9075
RE-656,AreaMappingPersistenceProvider,0.9075
RE-693,MissionPlanningPersistenceProvider,0.9074
RE-594,NvecInterpolator,0.9073
RE-101,IManagedDroneStateChangeListener,0.9073
RE-695,IncommingGroundstationConnectionServer,0.9073
RE-693,UAVProxyManager,0.9071
RE-691,FlightRouteplanningServiceInstance,0.9070
RE-693,IItemChangeListener,0.9068
RE-101,AreaMappingServiceRemoteFacade,0.9067
RE-545,RouteTask,0.9066
RE-695,FlightInfoCreator,0.9064
RE-656,MissionPlanningPersistenceProvider,0.9063
RE-103,SimulatorScenarioInfo,0.9060
RE-555,WorkspaceInitializer,0.9059
RE-424,IFileTransmitServiceInstance,0.9058
RE-693,IPlanStatusChangeListener,0.9058
RE-596,NVECSimulator,0.9058
RE-759,SimulatorScenarioPersistenceProvider,0.9057
RE-616,UAVStateMessage,0.9057
RE-508,DroneCollectionStatus,0.9053
RE-501,FlightRoute,0.9052
RE-693,DronologyListenerManager,0.9051
RE-656,IManagedDroneStateChangeListener,0.9051
RE-695,MonitoringDataHandler3,0.9049
RE-759,IMonitoringDataHandler,0.9049
RE-555,DronologyMonitoringManager,0.9049
RE-693,DroneMonitoringServiceRemoteFacade,0.9048
RE-101,SynchronizationManager,0.9048
RE-693,BaseServiceProvider,0.9047
RE-424,IServiceListener,0.9044
RE-541,FlightZoneException,0.9044
RE-759,DroneSetupService,0.9040
RE-656,IDronologyChangeListener,0.9039
RE-693,AbstractFileTransmitServerService,0.9039
RE-77,AbstractFlightPattern,0.9039
RE-689,AreaMappingService,0.9038
RE-424,ServiceIds,0.9038
RE-424,SynchronizationManager,0.9037
RE-587,AreaMappingService,0.9036
RE-101,UAVRegistrationServiceRemoteFacade,0.9035
RE-103,IFileTransmitServiceInstance,0.9034
RE-689,MonitorDialog,0.9033
RE-656,UAVRegistrationPersistenceProvider,0.9033
RE-25,IUAVEquipmentTypeRegistration,0.9032
RE-759,BaseServiceProvider,0.9031
RE-693,IncommingGroundstationConnectionServer,0.9028
RE-681,DronologySeriviceListener,0.9027
RE-103,DroneSetupService,0.9026
RE-656,IMonitoringDataHandler,0.9024
RE-555,IDroneStatusChangeListener,0.9023
RE-587,AbstractFileTransmitServerService,0.9022
RE-103,IFileChangeNotifyable,0.9022
RE-101,IMonitoringDataHandler,0.9020
RE-656,SendToSubscriberCallable,0.9020
RE-693,AreaMappingService,0.9019
RE-424,DroneSetupService,0.9018
RE-424,SyncConstants,0.9017
RE-691,SearchConstants,0.9016
RE-689,AbstractFileTransmitServerService,0.9016
RE-555,IPlanStatusChangeListener,0.9015
RE-693,GeneratedMappedArea,0.9013
RE-587,MonitorDialog,0.9013
RE-103,PlanPool,0.9011
RE-103,FlightRouteCategoryInfo,0.9011
RE-103,AreaMappingCategoryInfo,0.9009
RE-693,AreaMappingPersistenceProvider,0.9008
RE-501,FullMissionPlan,0.9007
RE-656,IncommingGroundstationConnectionServer,0.9007
RE-101,IItemChangeListener,0.9006
RE-103,SimulatorScenarioCategoryInfo,0.9004
RE-424,WorkspaceInitializer,0.9004
RE-759,DroneCollectionStatus,0.9003
RE-706,UAVMonitoringMessage,0.9003
RE-597,IBatterySimulator,0.9000
RE-693,UAVRegistrationPersistenceProvider,0.8995
RE-759,IDroneSimulatorRemoteService,0.8994
RE-424,ServiceStatus,0.8994
RE-103,SynchronizationManager,0.8993
RE-693,IDroneSetupServiceInstance,0.8993
RE-693,FlightRoutePersistenceProvider,0.8992
RE-656,DronologyElementFactory,0.8989
RE-555,DronologyListenerManager,0.8989
RE-693,IFileTransmitServiceInstance,0.8988
RE-759,DroneSimulatorServiceRemoteFacade,0.8988
RE-693,SendToSubscriberCallable,0.8988
RE-656,DroneMonitoringServiceRemoteFacade,0.8988
RE-101,WorkspaceInitializer,0.8986
RE-587,IFileTransmitServiceInstance,0.8985
RE-103,MonitorDialog,0.8982
RE-616,UAVStatusWrapper,0.8981
RE-555,IManagedDroneStateChangeListener,0.8981
RE-101,IDronologyChangeListener,0.8978
RE-693,IDroneStatusChangeListener,0.8977
RE-681,AreaMappingService,0.8977
RE-689,IFileTransmitServiceInstance,0.8975
RE-656,UAVProxyManager,0.8972
RE-555,AreaMappingServiceRemoteFacade,0.8970
RE-103,WorkspaceInitializer,0.8968
RE-695,DroneSimulatorServiceInstance,0.8966
RE-681,AbstractFileTransmitServerService,0.8966
RE-555,UAVRegistrationServiceRemoteFacade,0.8963
RE-101,IncommingGroundstationConnectionServer,0.8962
RE-587,DroneSetupService,0.8958
RE-693,DroneSetupService,0.8957
RE-689,IFileChangeNotifyable,0.8956
RE-759,IRemoteMonitoringMessageHandler,0.8954
RE-701,UAVMonitoringMessage,0.8951
RE-80,FlightZoneException,0.8949
RE-689,DroneSetupService,0.8949
RE-693,DroneCollectionStatus,0.8947
RE-759,IDroneSimulatorServiceInstance,0.8946
RE-759,DroneSimulatorServiceInstance,0.8945
RE-424,AreaMappingServiceInstance,0.8941
RE-691,UAVProxyManager,0.8941
RE-681,ServiceIds,0.8940
RE-508,IFlightRouteplanningServiceInstance,0.8936
RE-689,GoToCommand,0.8934
RE-693,IManagedDroneStateChangeListener,0.8934
RE-693,MonitoringDataHandler3,0.8934
RE-681,IRemoteServiceListener,0.8933
RE-656,SimulatorScenarioPersistenceProvider,0.8933
RE-587,IFileChangeNotifyable,0.8932
RE-424,DummyLockObject,0.8932
RE-103,DronologySeriviceListener,0.8931
RE-681,IFileTransmitServiceInstance,0.8930
RE-695,IRemoteMonitoringMessageHandler,0.8930
RE-101,MissionPlanningPersistenceProvider,0.8929
RE-555,RuntimeDroneTypes,0.8929
RE-693,UAVListenerManager,0.8928
RE-508,EdgeLla,0.8926
RE-103,IRemoteServiceListener,0.8926
RE-101,DroneMonitoringServiceRemoteFacade,0.8926
RE-693,DronologyElementFactory,0.8926
RE-681,PlanPool,0.8923
RE-103,AreaMappingServiceInstance,0.8921
RE-424,CommandIds,0.8921
RE-656,DroneSimulatorService,0.8921
RE-508,RemoteManagerFactory,0.8920
RE-25,IFlightPlan,0.8919
RE-693,FlightInfoCreator,0.8918
RE-691,DroneSetupServiceRemoteFacade,0.8918
RE-28,FlightZoneException,0.8917
RE-101,SendToSubscriberCallable,0.8916
RE-691,RemoteManagerFactory,0.8916
RE-691,DroneCollectionStatus,0.8914
RE-689,ResultCreationUtil,0.8913
RE-555,IMonitoringDataHandler,0.8912
RE-689,DronologySeriviceListener,0.8911
RE-587,EmergencyStopCommand,0.8910
RE-681,SyncConstants,0.8907
RE-424,IAreaMappingServiceInstance,0.8906
RE-759,SimulatorScenarioInfo,0.8905
RE-25,ArtifactIdentifier,0.8903
RE-587,PlanPool,0.8902
RE-508,UAVProxyManager,0.8901
RE-695,SynchronizationManager,0.8901
RE-587,ResultCreationUtil,0.8899
RE-101,UAVRegistrationPersistenceProvider,0.8899
RE-101,AreaMappingPersistenceProvider,0.8897
RE-656,MonitoringDataHandler3,0.8896
RE-759,FlightInfo,0.8895
RE-691,WorkspaceInitializer,0.8893
RE-555,IItemChangeListener,0.8891
RE-695,SimulatorScenarioPersistenceProvider,0.8891
RE-424,DronologyServiceException,0.8891
RE-596,FlightSimulator,0.8891
RE-25,MappingInfo,0.8888
RE-656,UAVListenerManager,0.8886
RE-103,UAVRegistrationService,0.8886
RE-424,RuntimeDroneTypes,0.8885
RE-681,IServiceListener,0.8884
RE-587,DronologySeriviceListener,0.8882
RE-103,IAreaMappingServiceInstance,0.8881
RE-101,RuntimeDroneTypes,0.8878
RE-555,GoToCommand,0.8878
RE-501,GeneratedMappedArea,0.8878
RE-101,FlightRoutePersistenceProvider,0.8876
RE-555,IncommingGroundstationConnectionServer,0.8873
RE-656,GeneratedMappedArea,0.8873
RE-424,UAVRegistrationService,0.8871
RE-695,RuntimeDroneTypes,0.8869
RE-681,DroneSetupService,0.8868
RE-656,DroneCollectionStatus,0.8866
RE-689,SynchronizationManager,0.8866
RE-656,IRemoteMonitoringMessageHandler,0.8865
RE-693,IDronologyChangeListener,0.8864
RE-101,MonitoringDataHandler3,0.8864
RE-695,AreaMappingService,0.8863
