supports assignment:obj [DD-638 - RE-637]
executed been:aux:pass [DD-657 - RE-80]
route existing:amod [DD-636 - RE-679]
description takeoff:dep [DD-543 - RE-594]
move uav:obj [DD-606 - RE-594]
events plan:compound [DD-615 - RE-611]
move uav:obj [DD-606 - RE-596]
assigned uav:nsubj:pass [DD-612 - RE-25]
routes existing:amod [DD-168 - RE-628]
send command:obj [DD-727 - RE-616]
summary description:appos [DD-168 - RE-679]
assigned uav:obl [DD-658 - RE-656]
assigned uav:nsubj:pass [DD-612 - RE-637]
summary routes:dep [DD-647 - RE-501]
executed been:aux:pass [DD-658 - RE-80]
send gcs:obl [DD-727 - RE-729]
summary description:appos [DD-168 - RE-80]
plans flight:compound [DD-84 - RE-611]
assigned uav:nsubj:pass [DD-613 - RE-25]
summary route:dep [DD-674 - RE-501]
plan flight:compound [DD-530 - RE-611]
summary description:dep [DD-121 - RE-679]
plan flight:compound [DD-578 - RE-611]
assignments route:compound [DD-650 - RE-637]
assigned uav:nsubj:pass [DD-612 - RE-646]
flight plans:dep [DD-658 - RE-100]
assigned uav:nsubj:pass [DD-613 - RE-637]
flight plans:dep [DD-658 - RE-101]
assignment description:appos [DD-552 - RE-549]
assigned uav:nsubj:pass [DD-612 - RE-649]
flight plans:dep [DD-658 - RE-587]
flight plans:dep [DD-658 - RE-103]
summary description:appos [DD-168 - RE-691]
routes existing:amod [DD-168 - RE-646]
uav activated:amod [DD-583 - RE-25]
send gcs:obl [DD-728 - RE-729]
specified be:aux:pass [DD-540 - RE-77]
assigned uav:obl [DD-658 - RE-25]
plan executing:amod [DD-557 - RE-28]
summary route:dep [DD-673 - RE-501]
assignment description:appos [DD-552 - RE-551]
remove plan:obj [DD-559 - RE-103]
assigned uav:nsubj:pass [DD-613 - RE-646]
assigned uav:nsubj:pass [DD-612 - RE-656]
assigned uav:nsubj:pass [DD-614 - RE-637]
flight plans:dep [DD-657 - RE-100]
assigned uav:nsubj:pass [DD-613 - RE-649]
flight plans:dep [DD-657 - RE-101]
display summary:compound [DD-113 - RE-679]
flight plans:dep [DD-657 - RE-587]
flight plans:dep [DD-657 - RE-103]
routes existing:amod [DD-168 - RE-637]
assigned uav:obl [DD-537 - RE-551]
route existing:amod [DD-636 - RE-646]
altitude takeoff:compound [DD-509 - RE-594]
has summary:dep [DD-27 - RE-555]
summary description:dep [DD-121 - RE-691]
summary description:dep [DD-692 - RE-679]
send command:obj [DD-728 - RE-616]
middleware description:appos [DD-650 - RE-709]
uavs simulated:amod [DD-577 - RE-576]
assigned uav:obl [DD-654 - RE-646]
display summary:compound [DD-113 - RE-689]
route existing:amod [DD-636 - RE-637]
transitions state:nmod [DD-30 - RE-8]
plans executed:obj [DD-104 - RE-28]
return home:nmod [DD-553 - RE-103]
summary description:dep [DD-692 - RE-80]
display summary:compound [DD-113 - RE-681]
uavs activated:amod [DD-113 - RE-589]
assigned uav:obl [DD-654 - RE-649]
id unique:acl:relcl [DD-573 - RE-25]
plan flight:compound [DD-614 - RE-759]
accept description:dep [DD-712 - RE-639]
flight plans:dep [DD-658 - RE-551]
longitude latitude:compound [DD-732 - RE-77]
assigned uav:obl [DD-654 - RE-656]
route existing:amod [DD-636 - RE-628]
flight plans:dep [DD-658 - RE-555]
transitions state:nmod [DD-31 - RE-8]
summary description:dep [DD-560 - RE-80]
assigned plan:nsubj:pass [DD-552 - RE-101]
middleware ui:compound [DD-352 - RE-649]
assigned plan:nsubj:pass [DD-552 - RE-100]
plans flight:compound [DD-553 - RE-759]
plans flight:compound [DD-84 - RE-656]
plan flight:compound [DD-548 - RE-555]
routes assign:amod [DD-647 - RE-551]
plans uav:nmod:poss [DD-84 - RE-28]
plan flight:compound [DD-548 - RE-551]
id unique:amod [DD-572 - RE-25]
plan flight:compound [DD-613 - RE-759]
location update:compound [DD-688 - RE-595]
display summary:compound [DD-684 - RE-689]
assigned uav:obl [DD-657 - RE-637]
flight plans:dep [DD-657 - RE-551]
transitions state:nmod [DD-32 - RE-8]
plan executed:amod [DD-554 - RE-759]
flight plans:dep [DD-657 - RE-555]
display summary:compound [DD-684 - RE-681]
summary description:dep [DD-121 - RE-80]
flight plans:dep [DD-658 - RE-549]
list routes:nmod [DD-657 - RE-628]
plan flight:compound [DD-548 - RE-101]
plan flight:compound [DD-548 - RE-587]
plan flight:compound [DD-548 - RE-103]
assigned uav:nsubj:pass [DD-614 - RE-25]
plan flight:compound [DD-548 - RE-100]
assign routes:obj [DD-648 - RE-551]
display summary:compound [DD-684 - RE-679]
assigned uav:obl [DD-657 - RE-646]
assigned uav:obl [DD-658 - RE-637]
plan executing:amod [DD-546 - RE-759]
middleware description:appos [DD-352 - RE-649]
events related:amod [DD-618 - RE-616]
assigned uav:obl [DD-657 - RE-649]
transform coordinates:obj [DD-513 - RE-510]
waypoint description:appos [DD-520 - RE-501]
plans flight:compound [DD-654 - RE-611]
flight plans:dep [DD-657 - RE-549]
assigned plan:nsubj:pass [DD-550 - RE-101]
assigned plan:nsubj:pass [DD-550 - RE-100]
plan flight:compound [DD-615 - RE-759]
executing plans:obj [DD-538 - RE-80]
route uav:nmod [DD-638 - RE-549]
events related:amod [DD-618 - RE-611]
middleware description:appos [DD-654 - RE-709]
uavs description:appos [DD-697 - RE-695]
plan executing:amod [DD-557 - RE-80]
plans flight:compound [DD-84 - RE-689]
plan flight:compound [DD-615 - RE-80]
assign routes:obj [DD-647 - RE-549]
specified be:aux:pass [DD-502 - RE-77]
plan flight:compound [DD-552 - RE-759]
uavs description:appos [DD-697 - RE-681]
assign routes:obj [DD-648 - RE-549]
flight automatic:compound [DD-552 - RE-551]
assign routes:obj [DD-647 - RE-551]
goto description:appos [DD-600 - RE-595]
log sent:dep [DD-213 - RE-616]
assignment assigned:dep [DD-552 - RE-551]
uavs activated:amod [DD-590 - RE-681]
plan executed:amod [DD-554 - RE-80]
altitude takeoff:compound [DD-548 - RE-594]
route create:compound [DD-673 - RE-672]
plan flight:compound [DD-527 - RE-759]
altitude takeoff:compound [DD-509 - RE-508]
plan flight:compound [DD-548 - RE-549]
routes assign:amod [DD-647 - RE-549]
delete description:dep [DD-658 - RE-677]
plan flight:compound [DD-612 - RE-759]
assign summary:nsubj [DD-554 - RE-646]
plans executed:obj [DD-104 - RE-80]
specified using:dep [DD-734 - RE-77]
plan flight:compound [DD-550 - RE-759]
assigned uav:obl [DD-654 - RE-637]
plans flight:compound [DD-654 - RE-656]
route create:compound [DD-674 - RE-672]
reached have:aux [DD-538 - RE-589]
reached have:aux [DD-538 - RE-101]
plan executing:amod [DD-33 - RE-80]
route flight:compound [DD-548 - RE-505]
route flight:compound [DD-548 - RE-508]
summary description:dep [DD-647 - RE-691]
route flight:compound [DD-548 - RE-501]
gcs multiple:amod [DD-711 - RE-709]
transition state:acl:relcl [DD-33 - RE-8]
distances computed:acl [DD-518 - RE-516]
assigned plan:nsubj:pass [DD-550 - RE-656]
waypoint description:appos [DD-614 - RE-501]
forwards commands:dep [DD-632 - RE-729]
plan mission:compound [DD-546 - RE-639]
conversion system:compound [DD-514 - RE-510]
operations apply:dep [DD-694 - RE-691]
summary description:dep [DD-615 - RE-541]
connections gcs:nmod [DD-711 - RE-714]
reaches waypoint:obj [DD-614 - RE-555]
executing plans:obj [DD-538 - RE-28]
plan flight:compound [DD-527 - RE-80]
conversion system:compound [DD-513 - RE-510]
description route:dep [DD-506 - RE-689]
route flight:compound [DD-635 - RE-505]
route flight:compound [DD-502 - RE-505]
route flight:compound [DD-635 - RE-501]
route flight:compound [DD-502 - RE-501]
plans flight:compound [DD-654 - RE-689]
has uav:nsubj [DD-27 - RE-101]
plan flight:compound [DD-612 - RE-80]
altitude ground:compound [DD-602 - RE-596]
summary description:dep [DD-87 - RE-80]
state uav:compound [DD-728 - RE-8]
plan flight:compound [DD-613 - RE-80]
route flight:compound [DD-502 - RE-508]
route flight:compound [DD-635 - RE-508]
conversion system:compound [DD-512 - RE-510]
description route:dep [DD-506 - RE-656]
route description:appos [DD-507 - RE-646]
route flight:compound [DD-636 - RE-505]
number maximum:amod [DD-590 - RE-589]
uavs description:appos [DD-697 - RE-626]
route flight:compound [DD-636 - RE-508]
plans flight:compound [DD-84 - RE-28]
number uavs:nmod [DD-590 - RE-589]
route flight:compound [DD-636 - RE-501]
active is:cop [DD-619 - RE-545]
cancelled plans:obj [DD-546 - RE-587]
cancelled plans:obj [DD-546 - RE-103]
plan flight:compound [DD-614 - RE-80]
assigned routes:nsubj:pass [DD-352 - RE-549]
specify route:obj [DD-502 - RE-508]
plan uav:nmod [DD-557 - RE-103]
route description:appos [DD-507 - RE-656]
provide support:xcomp [DD-468 - RE-634]
plan flight:compound [DD-527 - RE-28]
assigned routes:nsubj:pass [DD-352 - RE-551]
plan flight:compound [DD-612 - RE-28]
plans flight:compound [DD-537 - RE-549]
assigned is:aux:pass [DD-578 - RE-551]
summary simulate:dep [DD-607 - RE-597]
plans pending:case [DD-654 - RE-101]
list route:compound [DD-647 - RE-628]
summary simulate:dep [DD-607 - RE-595]
plans pending:case [DD-654 - RE-103]
summary simulate:dep [DD-607 - RE-596]
routes flight:compound [DD-502 - RE-628]
assigned uav:obl [DD-352 - RE-637]
altitude ground:compound [DD-608 - RE-596]
summary simulate:dep [DD-607 - RE-594]
plan flight:compound [DD-613 - RE-689]
plans flight:compound [DD-537 - RE-551]
request activation:nmod [DD-583 - RE-589]
plan flight:compound [DD-613 - RE-28]
display list:obj [DD-682 - RE-679]
summary simulate:dep [DD-606 - RE-596]
plans flight:compound [DD-538 - RE-549]
summary simulate:dep [DD-606 - RE-597]
summary simulate:dep [DD-606 - RE-594]
uavs activated:amod [DD-682 - RE-681]
summary simulate:dep [DD-606 - RE-595]
plans flight:compound [DD-537 - RE-555]
assigned uav:obl [DD-352 - RE-649]
assigned uav:obl [DD-352 - RE-646]
message monitoring:compound [DD-707 - RE-701]
activated uav:nsubj:pass [DD-26 - RE-25]
description route:dep [DD-506 - RE-646]
display display:dep [DD-229 - RE-689]
plan flight:compound [DD-527 - RE-689]
plan flight:compound [DD-615 - RE-656]
summary operations:dep [DD-692 - RE-691]
plan flight:compound [DD-612 - RE-689]
route flight:compound [DD-506 - RE-508]
plans flight:compound [DD-538 - RE-555]
waypoint next:amod [DD-530 - RE-80]
altitude takeoff:compound [DD-548 - RE-508]
plan mission:compound [DD-540 - RE-639]
transition description:appos [DD-32 - RE-8]
plan flight:compound [DD-614 - RE-28]
flight uav:nsubj [DD-603 - RE-103]
plans flight:compound [DD-538 - RE-551]
route flight:compound [DD-506 - RE-505]
specified waypoints:nsubj:pass [DD-23 - RE-77]
uavs activated:amod [DD-683 - RE-681]
summary simulate:dep [DD-609 - RE-597]
route flight:compound [DD-506 - RE-501]
message monitoring:compound [DD-707 - RE-706]
state uav:compound [DD-724 - RE-8]
summary simulate:dep [DD-609 - RE-595]
summary simulate:dep [DD-609 - RE-596]
assigned uav:obl [DD-352 - RE-656]
summary simulate:dep [DD-609 - RE-594]
summary description:dep [DD-647 - RE-679]
middleware summary:compound [DD-635 - RE-628]
plan flight:compound [DD-615 - RE-689]
route flight:compound [DD-507 - RE-508]
plan flight:compound [DD-615 - RE-28]
route flight:compound [DD-507 - RE-505]
route flight:compound [DD-507 - RE-501]
summary simulate:dep [DD-608 - RE-596]
plans pending:case [DD-654 - RE-555]
summary simulate:dep [DD-608 - RE-597]
routes flight:compound [DD-502 - RE-634]
summary simulate:dep [DD-608 - RE-594]
summary simulate:dep [DD-608 - RE-595]
message monitoring:compound [DD-707 - RE-722]
request plan:compound [DD-640 - RE-639]
plan flight:compound [DD-614 - RE-689]
plans flight:compound [DD-537 - RE-101]
plans flight:compound [DD-537 - RE-100]
plans flight:compound [DD-537 - RE-587]
plans flight:compound [DD-537 - RE-103]
plans assigned:acl [DD-658 - RE-656]
flight uav:nsubj [DD-609 - RE-103]
messages description:appos [DD-619 - RE-701]
messages description:appos [DD-619 - RE-706]
summary coordinate:dep [DD-514 - RE-510]
summary supports:parataxis [DD-498 - RE-576]
events related:amod [DD-213 - RE-616]
summary supports:parataxis [DD-498 - RE-574]
events related:amod [DD-213 - RE-611]
middleware summary:compound [DD-636 - RE-634]
middleware summary:compound [DD-636 - RE-637]
update locations:obj [DD-688 - RE-595]
plans flight:compound [DD-538 - RE-101]
plans flight:compound [DD-538 - RE-587]
plans flight:compound [DD-538 - RE-103]
plan flight:compound [DD-560 - RE-759]
plans flight:compound [DD-538 - RE-100]
route flight:compound [DD-509 - RE-508]
route flight:compound [DD-509 - RE-505]
summary coordinate:dep [DD-515 - RE-510]
route flight:compound [DD-509 - RE-501]
executing plan:obj [DD-614 - RE-101]
accept accept:parataxis [DD-712 - RE-639]
middleware summary:compound [DD-636 - RE-628]
middleware summary:compound [DD-635 - RE-637]
middleware summary:compound [DD-635 - RE-634]
summary description:dep [DD-557 - RE-679]
removed plan:nsubj:pass [DD-554 - RE-656]
plan flight:compound [DD-87 - RE-80]
reject request:obj [DD-583 - RE-589]
removed plans:nsubj:pass [DD-588 - RE-103]
summary simulate:dep [DD-605 - RE-595]
summary simulate:dep [DD-605 - RE-596]
messages uav:compound [DD-723 - RE-722]
summary simulate:dep [DD-605 - RE-594]
summary simulate:dep [DD-605 - RE-597]
middleware summary:compound [DD-638 - RE-634]
return description:appos [DD-553 - RE-103]
flight plans:dep [DD-658 - RE-28]
middleware summary:compound [DD-638 - RE-637]
plan flight:compound [DD-81 - RE-759]
summary description:dep [DD-557 - RE-691]
plans assigned:acl [DD-657 - RE-656]
plan flight:compound [DD-520 - RE-80]
assigned plan:nsubj:pass [DD-30 - RE-100]
operations uav:compound [DD-692 - RE-691]
assigned plan:nsubj:pass [DD-30 - RE-101]
assign uav:dep [DD-552 - RE-25]
flight plans:dep [DD-657 - RE-28]
middleware summary:compound [DD-638 - RE-628]
types description:appos [DD-731 - RE-766]
assigned is:aux:pass [DD-614 - RE-649]
routes flight:compound [DD-75 - RE-508]
displayed be:aux:pass [DD-678 - RE-114]
plans flight:compound [DD-654 - RE-28]
summary description:dep [DD-87 - RE-541]
messages summary:compound [DD-723 - RE-722]
request activation:obj [DD-718 - RE-589]
routes flight:compound [DD-75 - RE-501]
summary description:dep [DD-685 - RE-679]
routes flight:compound [DD-75 - RE-505]
route description:appos [DD-674 - RE-689]
coordinate description:dep [DD-362 - RE-643]
cancelled plan:nsubj:pass [DD-546 - RE-587]
cancelled plan:nsubj:pass [DD-546 - RE-103]
assigned is:aux:pass [DD-613 - RE-649]
summary description:appos [DD-599 - RE-691]
assigned is:aux:pass [DD-614 - RE-637]
routes saved:amod [DD-629 - RE-628]
waypoints plan:nmod [DD-530 - RE-80]
list routes:nmod [DD-168 - RE-628]
plans flight:compound [DD-84 - RE-80]
route created:amod [DD-75 - RE-672]
assign route:obl [DD-638 - RE-649]
assign route:obl [DD-638 - RE-646]
establish number:iobj [DD-590 - RE-589]
plan flight:compound [DD-520 - RE-28]
assigned is:aux:pass [DD-613 - RE-637]
summary simulate:dep [DD-601 - RE-597]
messages description:appos [DD-619 - RE-722]
assigned is:aux:pass [DD-612 - RE-649]
summary description:dep [DD-685 - RE-691]
summary coordinate:dep [DD-512 - RE-510]
summary simulate:dep [DD-601 - RE-595]
summary simulate:dep [DD-601 - RE-596]
summary simulate:dep [DD-601 - RE-594]
messages summary:compound [DD-723 - RE-701]
assign route:obl [DD-638 - RE-656]
messages summary:compound [DD-723 - RE-706]
coordinates default:compound [DD-119 - RE-643]
assigned is:aux:pass [DD-612 - RE-637]
display map:dep [DD-684 - RE-114]
middleware ui:compound [DD-654 - RE-649]
summary coordinate:dep [DD-513 - RE-510]
list route:compound [DD-647 - RE-679]
route description:appos [DD-673 - RE-689]
summary description:dep [DD-615 - RE-80]
summary delete:dep [DD-658 - RE-677]
plan flight:compound [DD-530 - RE-549]
routes assigned:amod [DD-657 - RE-656]
displayed be:aux:pass [DD-678 - RE-679]
middleware ui:compound [DD-650 - RE-649]
commands takeoff:compound [DD-632 - RE-594]
plan flight:compound [DD-578 - RE-549]
plan flight:compound [DD-557 - RE-759]
routes assigned:acl [DD-536 - RE-549]
plan flight:compound [DD-556 - RE-759]
assigned uav:obl [DD-657 - RE-100]
assigned uav:nsubj:pass [DD-612 - RE-551]
uav activated:amod [DD-687 - RE-25]
plan executing:amod [DD-557 - RE-101]
assignment assigned:dep [DD-552 - RE-649]
displayed be:aux:pass [DD-684 - RE-114]
plan flight:compound [DD-81 - RE-80]
assigned uav:obl [DD-658 - RE-100]
assigned uav:nsubj:pass [DD-613 - RE-551]
routes assigned:acl [DD-536 - RE-551]
plan flight:compound [DD-87 - RE-28]
plan flight:compound [DD-559 - RE-759]
requests plans:nmod [DD-654 - RE-639]
handle gcsmiddleware:nsubj [DD-354 - RE-709]
specified are:aux:pass [DD-530 - RE-77]
assigned uav:nsubj:pass [DD-614 - RE-551]
plan remove:amod [DD-87 - RE-103]
plans flight:compound [DD-498 - RE-759]
plan flight:compound [DD-578 - RE-551]
plan flight:compound [DD-530 - RE-555]
plan flight:compound [DD-520 - RE-656]
summary description:appos [DD-599 - RE-679]
plan flight:compound [DD-578 - RE-555]
plan flight:compound [DD-530 - RE-551]
assigned uav:obl [DD-30 - RE-25]
displayed be:aux:pass [DD-113 - RE-114]
number description:appos [DD-590 - RE-589]
handle gcsmiddleware:nsubj [DD-354 - RE-722]
plan flight:compound [DD-560 - RE-689]
plan flight:compound [DD-553 - RE-759]
summary description:dep [DD-121 - RE-541]
plan flight:compound [DD-81 - RE-28]
plans flight:compound [DD-27 - RE-28]
plan flight:compound [DD-552 - RE-759]
assigned uav:obl [DD-648 - RE-637]
summary transitions:parataxis [DD-31 - RE-8]
uavs description:appos [DD-627 - RE-626]
connection gcs:nmod [DD-712 - RE-714]
sent gcs:obl [DD-617 - RE-729]
sent commands:nsubj [DD-617 - RE-616]
assigned uav:obl [DD-648 - RE-646]
plan executing:amod [DD-33 - RE-759]
assigned uav:obl [DD-648 - RE-649]
summary transitions:dep [DD-30 - RE-8]
assigned uav:obl [DD-657 - RE-551]
assigned uav:obl [DD-654 - RE-100]
altitude takeoff:compound [DD-605 - RE-594]
assigned uav:obl [DD-537 - RE-25]
publishing message:nmod [DD-707 - RE-706]
plans flight:compound [DD-654 - RE-80]
summary description:dep [DD-692 - RE-541]
id unique:compound [DD-713 - RE-25]
plan flight:compound [DD-554 - RE-759]
assigned uav:obl [DD-658 - RE-551]
plans flight:compound [DD-553 - RE-611]
display map:nsubj [DD-117 - RE-114]
assigned uav:obl [DD-648 - RE-656]
plans flight:compound [DD-84 - RE-759]
plan flight:compound [DD-520 - RE-611]
summary description:dep [DD-560 - RE-541]
command return:compound [DD-553 - RE-424]
assigned is:aux:pass [DD-578 - RE-637]
deactivated is:aux:pass [DD-588 - RE-587]
location uav:compound [DD-688 - RE-595]
uav active:amod [DD-638 - RE-637]
plans flight:compound [DD-104 - RE-759]
transform coordinatesystem:nsubj [DD-513 - RE-510]
plans flight:compound [DD-588 - RE-759]
plan flight:compound [DD-527 - RE-656]
plan flight:compound [DD-612 - RE-656]
plan flight:compound [DD-33 - RE-587]
plan flight:compound [DD-33 - RE-103]
plans uav:nmod:poss [DD-84 - RE-103]
plan flight:compound [DD-33 - RE-100]
plan flight:compound [DD-33 - RE-101]
longitude latitude:conj [DD-599 - RE-596]
longitude latitude:conj [DD-599 - RE-594]
plan flight:compound [DD-615 - RE-611]
connected gcs:dep [DD-575 - RE-574]
transform coordinatesystem:nsubj [DD-512 - RE-510]
clients dronology:nmod [DD-633 - RE-630]
longitude latitude:conj [DD-23 - RE-77]
plan flight:compound [DD-30 - RE-587]
plan flight:compound [DD-30 - RE-103]
plan flight:compound [DD-30 - RE-100]
plan flight:compound [DD-33 - RE-555]
plan flight:compound [DD-30 - RE-101]
ids assigned:amod [DD-573 - RE-25]
plan flight:compound [DD-33 - RE-551]
list routes:nmod [DD-536 - RE-628]
uavs activated:amod [DD-113 - RE-681]
plan flight:compound [DD-614 - RE-656]
route flight:compound [DD-75 - RE-505]
clients dronology:obl [DD-631 - RE-630]
uavs description:appos [DD-588 - RE-587]
route flight:compound [DD-75 - RE-501]
return home:obl [DD-520 - RE-103]
assigned uav:obl [DD-654 - RE-551]
plan current:amod [DD-553 - RE-555]
executing plans:obj [DD-498 - RE-759]
summary description:appos [DD-168 - RE-541]
route flight:compound [DD-75 - RE-508]
clients dronology:nmod [DD-764 - RE-630]
plans flight:compound [DD-553 - RE-656]
uavs map:nmod [DD-685 - RE-695]
plan flight:compound [DD-613 - RE-656]
assignment plan:compound [DD-552 - RE-551]
message state:compound [DD-619 - RE-722]
connection gcs:compound [DD-361 - RE-714]
description summary:dep [DD-506 - RE-691]
state uav:compound [DD-683 - RE-8]
assigned plan:obj [DD-578 - RE-656]
plan current:amod [DD-554 - RE-555]
plan flight:compound [DD-578 - RE-100]
plan flight:compound [DD-527 - RE-611]
plan flight:compound [DD-578 - RE-101]
summary description:appos [DD-599 - RE-80]
routes assign:amod [DD-647 - RE-649]
plan flight:compound [DD-530 - RE-587]
plan flight:compound [DD-530 - RE-103]
plan flight:compound [DD-520 - RE-689]
plan flight:compound [DD-578 - RE-587]
plan flight:compound [DD-578 - RE-103]
plan flight:compound [DD-530 - RE-100]
plan flight:compound [DD-612 - RE-611]
plan flight:compound [DD-530 - RE-101]
routes assign:amod [DD-647 - RE-646]
plan flight:compound [DD-33 - RE-549]
send waypoint:obj [DD-527 - RE-80]
supports middleware:nsubj [DD-638 - RE-637]
state uav:compound [DD-682 - RE-8]
list routes:nmod [DD-537 - RE-628]
summary description:dep [DD-685 - RE-80]
messages monitoring:compound [DD-723 - RE-706]
displays routes:obj [DD-168 - RE-689]
assignment plan:compound [DD-552 - RE-549]
altitude takeoff:compound [DD-605 - RE-508]
messages monitoring:compound [DD-723 - RE-701]
supports middleware:nsubj [DD-635 - RE-637]
plan flight:compound [DD-30 - RE-549]
executing plan:obj [DD-614 - RE-28]
assignment plan:compound [DD-550 - RE-551]
summary transition:dep [DD-578 - RE-8]
plan current:amod [DD-553 - RE-587]
plans flight:compound [DD-546 - RE-759]
plans flight:compound [DD-553 - RE-689]
plan current:amod [DD-553 - RE-101]
plan flight:compound [DD-614 - RE-611]
hover description:dep [DD-631 - RE-555]
route description:appos [DD-507 - RE-689]
routes assigned:amod [DD-657 - RE-649]
supports middleware:nsubj [DD-636 - RE-637]
routes assigned:amod [DD-657 - RE-646]
plan flight:compound [DD-30 - RE-555]
plan flight:compound [DD-30 - RE-551]
plans flight:compound [DD-27 - RE-80]
commands waypoint:compound [DD-764 - RE-424]
plan current:amod [DD-554 - RE-587]
summary transition:dep [DD-579 - RE-8]
waypoint first:amod [DD-543 - RE-501]
waypoint next:amod [DD-528 - RE-80]
assignment plan:compound [DD-550 - RE-549]
plan current:amod [DD-554 - RE-101]
routes assign:amod [DD-647 - RE-656]
messages monitoring:compound [DD-723 - RE-722]
plan flight:compound [DD-613 - RE-611]
messages monitoring:compound [DD-723 - RE-701]
displayed display:nsubj:pass [DD-684 - RE-689]
delete route:obj [DD-678 - RE-677]
lists routes:nmod [DD-536 - RE-628]
assigned uav:obl [DD-352 - RE-551]
messages monitoring:compound [DD-723 - RE-706]
plan flight:compound [DD-615 - RE-587]
plan flight:compound [DD-615 - RE-103]
executed plan:nsubj:pass [DD-613 - RE-759]
coordinate transformed:advcl [DD-515 - RE-510]
uavs activated:amod [DD-590 - RE-589]
plan flight:compound [DD-615 - RE-100]
plan flight:compound [DD-615 - RE-101]
plans flight:compound [DD-654 - RE-549]
list routes:nmod [DD-657 - RE-679]
plans flight:compound [DD-654 - RE-555]
plans flight:compound [DD-654 - RE-551]
plan flight:compound [DD-614 - RE-101]
plan flight:compound [DD-614 - RE-587]
plan flight:compound [DD-614 - RE-103]
coordinate transformed:advcl [DD-514 - RE-510]
plan flight:compound [DD-614 - RE-100]
assigned routes:nsubj:pass [DD-352 - RE-649]
summary support:parataxis [DD-439 - RE-576]
middleware description:appos [DD-352 - RE-709]
assigned routes:nsubj:pass [DD-352 - RE-646]
displayed display:nsubj:pass [DD-113 - RE-689]
home to:compound [DD-520 - RE-424]
issued command:obj [DD-553 - RE-424]
description summary:dep [DD-506 - RE-679]
removed plan:nsubj:pass [DD-554 - RE-103]
assigned routes:nsubj:pass [DD-352 - RE-656]
specified are:aux:pass [DD-530 - RE-508]
plan mission:compound [DD-640 - RE-639]
assigned uav:obl [DD-352 - RE-100]
forwards commands:dep [DD-632 - RE-630]
able be:cop [DD-703 - RE-706]
middleware ui:compound [DD-635 - RE-628]
operations emergency:compound [DD-694 - RE-693]
reached is:aux:pass [DD-529 - RE-589]
request activation:compound [DD-572 - RE-589]
routes flight:compound [DD-502 - RE-501]
routes flight:compound [DD-502 - RE-505]
plans flight:compound [DD-654 - RE-587]
plans flight:compound [DD-654 - RE-103]
plans flight:compound [DD-654 - RE-100]
plans flight:compound [DD-654 - RE-101]
routes flight:compound [DD-502 - RE-508]
middleware ui:compound [DD-636 - RE-628]
middleware ui:compound [DD-635 - RE-637]
plan flight:compound [DD-614 - RE-555]
types description:appos [DD-768 - RE-766]
routes active:amod [DD-697 - RE-689]
plan flight:compound [DD-614 - RE-551]
waypoint route:nmod [DD-544 - RE-424]
middleware ui:compound [DD-635 - RE-630]
plan executed:amod [DD-554 - RE-28]
middleware ui:compound [DD-635 - RE-634]
summary description:appos [DD-500 - RE-679]
plan flight:compound [DD-615 - RE-549]
plan flight:compound [DD-30 - RE-80]
